Zone,Nom,Catégorie,Type,Latitude,Longitude
ahfir,9achla electro,Supermarché,Formel,34.9514504,-2.0971672
ahfir,Café Les Boules,Café,Formel,34.9479687,-2.1041091
ahfir,مقهى واحمد,Café,Formel,34.9690256,-2.1005571
ahfir,Pharmacie Aloods,Pharmacie,Formel,34.9526995,-2.0998022
ahfir,Pharmacie Carrefour صيدلية كارفور,Pharmacie,Formel,34.9553288,-2.1023462
ahfir,Café sans nom,Café,Formel,34.9404116,-2.1267975
ahfir,Pharmacie L'Oriental صيدلية الشرق,Pharmacie,Formel,34.9470925,-2.10192
ahfir,Pharmacie El Nahda صيدلية النهضة,Pharmacie,Formel,34.9502056,-2.1013835
ahfir,Pharmacie Soulimani صيدلية سليماني,Pharmacie,Formel,34.951916,-2.101
ahfir,Pharmacie El Mahi صيدلية الماحي,Pharmacie,Formel,34.95278,-2.1034086
ahfir,Pharmacie El Rahma صيدلية الرحمة,Pharmacie,Formel,34.9510432,-2.1023545
ahfir,Pharmacie Assalam صيدلية السلام,Pharmacie,Formel,34.9518852,-2.099911
ahfir,Pharmacie Principale الصيدلية الرئيسية,Pharmacie,Formel,34.9542968,-2.1023277
ahfir,Pharmacie Imam Malik صيدلية امام مالك,Pharmacie,Formel,34.9579263,-2.1003938
ahfir,Pharmacie Ahfir صيدلية أحفير,Pharmacie,Formel,34.9622677,-2.1030921
ahfir,Pharmacie Annasri صيدلية الناصري,Pharmacie,Formel,34.9502957,-2.1146793
ahfir,Restaurant Pizza Ajoued,Restaurant,Formel,34.9615883,-2.0308892
ahfir,Café Al-Walaja,Café,Formel,34.9612197,-2.033227
ahfir,Lahbib,Marché,Informel,34.9637311,-2.0314012
ahfir,Café sans nom,Café,Formel,34.9613136,-2.0328124
ahfir,Supermarché sans nom,Supermarché,Formel,34.9613898,-2.0349606
ahfir,Marché vert,Marché,Informel,34.9638188,-2.0295976
ahfir,صيدلية طالب,Pharmacie,Formel,34.9758856,-2.1012309
ahfir,مقهى الشعبي,Café,Formel,34.9768971,-2.1010638
ahfir,في ميمي,Confiserie,Informel,34.976203,-2.1013671
ahfir,أوبختي للخضروات,Fruits et légumes,Informel,34.9755801,-2.1012704
ahfir,عند الحاج عبد الحفيظ,Restaurant,Formel,34.9738238,-2.101406
ahfir,لزعر أحمد,Fruits et légumes,Informel,34.9755552,-2.0988741
